OBJECTID,Shape_Leng,Shape_Area,TAZ_O
1,5768.92985986,1167360.38559,1
2,6573.00984143,1691798.86299,2
3,5720.59667877,1549778.85818,3
4,6361.51505816,1911833.76089,4
5,5605.57053601,1584066.92225,5
6,7148.44542112,3246131.4992,6
7,4702.87668413,1094412.1904,7
8,8918.48605527,1492725.46406,8
9,6467.6384075,1977369.23096,9
10,8307.77285527,2699005.70684,10
11,5261.44933129,1603326.90586,11
12,4399.03517769,1232900.94858,12
13,5320.54233336,1388626.15577,13
14,11098.8413254,2633963.68091,14
15,4518.83791689,689592.685107,15
16,6594.17020077,1687287.89477,16
17,9198.76294299,676532.854403,17
18,10662.1167462,1125330.50607,18
19,5894.34531664,1316151.35037,19
20,8576.53454281,2001690.69759,20
21,4025.65330704,680131.005623,21
22,9558.61414285,2974419.36059,22
23,5192.60112056,1282296.39053,23
24,6746.84585831,2389466.1009,24
25,10810.2716209,4024369.04061,25
26,7157.88039759,2410978.86196,26
27,3896.21246979,945927.031051,27
28,6618.21612494,2587669.80324,28
29,6167.13531652,2192081.23958,29
30,5675.56038552,1199475.95601,30
31,4099.65495748,1069086.02241,31
32,6115.79513683,2079673.95719,32
33,6088.08131885,1744162.58805,33
34,5803.49636232,1232739.10356,34
35,4997.32858056,1048468.81321,35
36,6070.34287121,2044608.62386,36
37,6019.55794789,2018309.16176,37
38,3883.55220793,955108.647555,38
39,5849.02283232,1550155.81106,39
40,7652.3059985,2602067.43734,40
41,4957.74823119,1271825.1438,41
42,5958.85269487,2004963.60862,42
43,3917.57985906,955194.216436,43
44,4514.58946426,812353.426804,44
45,5488.49319413,869165.226205,45
46,8455.55744201,2484074.94389,46
47,9088.57985159,2802828.36173,47
48,8026.28197294,3325573.15766,48
49,5614.0412777,1799345.48011,49
50,5453.92908588,1696572.31437,50
51,6826.3158942,2897056.12016,51
52,10434.9818435,2343666.4753,52
53,8386.01160487,2641758.11953,53
54,9229.55334823,3803394.97949,54
55,8709.97360957,2963192.1084,55
56,6633.9014536,2158967.28287,56
57,4922.79281681,1224064.59969,57
58,6247.02918317,1806503.62418,58
59,4522.85322816,1108717.56635,59
60,5650.69354053,1766953.76042,60
61,5388.08192245,1426869.96218,61
62,5888.86307899,1417531.53158,62
63,4929.22790091,1127528.86921,63
64,7076.950914,2505855.14092,64
65,6175.02235633,1310895.16732,65
66,7823.24705921,1295865.12673,66
67,8436.98305475,1998333.03455,67
68,9290.09579403,2882705.39012,68
69,7516.59895617,2221427.24633,69
70,7706.04589777,2054614.08814,70
71,5951.11903858,1187791.01277,71
72,7457.1652149,2856009.1673,72
73,7898.18858797,1551832.86375,73
74,6423.08221541,1522711.18501,74
75,7552.38953111,2791233.46001,75
76,6034.57295319,1620531.09929,76
77,6043.63820385,2001757.92374,77
78,4420.39583449,1211304.24991,78
79,6772.86333658,2557618.98792,79
80,5889.26082759,2096492.16271,80
81,5313.32598262,1408917.77802,81
82,4820.15062328,1272982.88624,82
83,4929.02966145,1409855.81558,83
84,4620.26203034,1116460.81485,84
85,3920.20784689,876052.30452,85
86,4025.58827674,1010308.06554,86
87,6300.17841048,2202009.71847,87
88,6253.16407662,1268277.3998,88
89,7510.07571137,1945057.06534,89
90,6543.53587794,1872896.26585,90
91,5239.26539002,1146905.56409,91
92,4595.92152333,928756.678897,92
93,4825.25975341,1093046.43458,93
94,7243.06472769,2650879.73606,94
95,8644.23749074,3275626.82116,95
96,5784.76950159,1786167.63095,96
97,5692.50260397,1359858.51458,97
98,10052.829891,3177960.31231,98
99,6780.059067,1287437.54582,99
100,4985.48886972,1302957.61245,100
101,5651.46081304,1953707.12636,101
102,3334.39962738,701795.293138,102
103,5021.94012017,1575647.49755,103
104,4697.66596328,1392427.45705,104
105,4288.04628363,1108946.64539,105
106,6050.68225722,1855602.99482,106
107,8501.85890767,2645289.56885,107
108,6039.73584207,1803668.18484,108
109,6481.63231763,2333333.87996,109
110,12725.7513569,3623033.24592,110
111,9094.42157805,2924998.29956,111
112,4895.30303311,753701.280407,112
113,4168.8644841,1012814.5349,113
114,3669.82752999,732123.509437,114
115,3819.69875534,812388.291672,115
116,2858.12366357,452019.251867,116
117,3267.88218637,575483.692716,117
118,3764.07534522,565347.002954,118
119,3784.46191545,817479.491444,119
120,3708.33901424,626633.157245,120
121,6865.93403048,1236983.16702,121
122,3851.00804019,776925.038279,122
123,5047.34653491,732573.119549,123
124,4723.72112498,1024473.26379,124
125,5510.02748269,757851.982603,125
126,4433.53249832,1063408.62887,126
127,7260.47667972,2105749.0684,127
128,5946.26197007,1017657.88478,128
129,3972.52582398,650760.365387,129
130,4893.29649507,1148341.89121,130
131,4546.2952582,915294.468701,131
132,4405.95629978,761670.494736,132
133,4959.19583937,1186463.84662,133
134,3125.28181074,481904.040478,134
135,3714.5103178,584264.834213,135
136,4879.52424804,1229415.62463,136
137,3965.75651942,678365.327439,137
138,3171.19886283,604323.185105,138
139,4237.35821076,1072442.68019,139
140,2926.6685767,525647.22151,140
141,2649.51070404,429058.577499,141
142,2744.88760253,466516.380897,142
143,3743.60779023,837598.829177,143
144,3569.78313978,710425.467104,144
145,6331.90493371,1494486.03317,145
146,6761.24425821,2754423.23356,146
147,4113.36812175,357969.531243,147
148,3756.34320525,816389.048272,148
149,3517.9704601,690663.652177,149
150,3362.2880388,498039.705664,150
151,4102.80300889,671672.61363,151
152,5490.07910165,1487806.12309,152
153,13482.1824285,2169579.97966,153
154,4291.27071081,901404.727791,154
155,3020.67966471,495374.932975,155
156,3417.49273116,426452.354425,156
157,3465.45577107,685763.335562,157
158,3363.44727492,702277.602419,158
159,2412.23914932,294963.272314,159
160,2379.39755465,276151.676083,160
161,3020.6296675,509108.877322,161
162,2765.44533337,489963.282092,162
163,3117.8259102,553620.403394,163
164,2431.06562231,368741.986662,164
165,2297.0831422,317532.609426,165
166,3288.33065198,650000.057998,166
167,5943.15133354,1357011.35233,167
168,2226.80876665,287790.650916,168
169,3099.6722474,578081.913877,169
170,3630.8397424,720425.785812,170
171,3540.70028281,740125.523019,171
172,3784.58517097,720707.989681,172
173,3788.32188543,873248.384074,173
174,3141.98102331,548914.634634,174
175,3662.19806358,628862.26664,175
176,4516.41427385,927265.796789,176
177,4063.54984664,957287.57034,177
178,3175.71128829,627728.457796,178
179,2707.63346487,375021.665187,179
180,2718.67965707,315339.840275,180
181,3302.35395037,638821.636999,181
182,3242.42929374,615801.066003,182
183,3627.41524828,690037.273288,183
184,4655.30132012,1049175.38855,184
185,3733.12508257,651903.906263,185
186,3769.68578732,408387.485916,186
187,3263.34728044,624638.392602,187
188,3719.0695105,831016.501661,188
189,4312.38410215,862116.97123,189
190,4851.47138988,1102187.29502,190
191,4057.90468616,606955.303599,191
192,3072.66781845,559087.450376,192
193,2779.24044341,389495.817726,193
194,2426.13019122,329410.839649,194
195,2652.24734359,229780.976469,195
196,6386.13541548,1590841.12536,196
197,4545.20606342,1138056.49202,197
198,4458.41849256,1117137.24696,198
199,3264.50405552,539859.57981,199
200,4927.40484631,880734.827737,200
201,2100.38894614,269268.816763,201
202,2523.8544025,365591.878507,202
203,2385.34751384,366146.912009,203
204,2397.72967228,318072.540111,204
205,2039.66269736,242747.31458,205
206,1966.17779715,219846.155712,206
207,2071.61825785,265089.000128,207
208,3215.42141569,170280.203425,208
209,31199.7015019,3349453.43097,209
210,3602.60605181,243467.79679,210
211,2835.11976574,465505.532391,211
212,2129.79066589,230334.504877,212
213,2261.33660412,286697.493973,213
214,2577.35003226,390485.578933,214
215,2783.70904519,460008.733409,215
216,2809.65537272,452236.362274,216
217,2427.63524659,318206.151994,217
218,2177.56454372,274938.002209,218
219,1739.13205575,187407.804836,219
220,1950.99554391,227768.225449,220
221,1651.48223984,170936.975585,221
222,1738.83607972,186827.396491,222
223,1598.51784358,150857.747453,223
224,2631.41949418,273590.83933,224
225,1355.97239852,83945.7952387,225
226,978.333934981,59470.6846011,226
227,1165.68402751,75260.6790294,227
228,1416.57331722,109819.20435,228
229,1646.90621705,137866.86774,229
230,1271.95089853,91026.4647939,230
231,1677.49127395,137278.959841,231
232,1843.28198428,187981.819253,232
233,1475.76190755,134053.056266,233
234,1673.34566461,135069.023986,234
235,1338.02929466,99092.2522784,235
236,2274.57379635,318797.307559,236
237,1879.16326865,203555.587959,237
238,1770.52570645,191871.508511,238
239,1420.52200905,94082.8308436,239
240,1610.00638278,152126.253896,240
241,2044.26779718,255104.88647,241
242,3603.5791353,787010.787213,242
243,2449.86625285,353691.880718,243
244,2327.64856547,319581.202703,244
245,2674.76778933,419803.295661,245
246,2388.25159359,328335.757134,246
247,2574.30424619,424033.678507,247
248,3424.06594553,666529.245434,248
249,2825.1369339,429269.315124,249
250,2412.64735377,263573.720728,250
251,2627.51825686,386775.194068,251
252,2740.96702741,321482.142057,252
253,40488.2433766,4656710.00924,253
254,2920.40088046,352780.111755,254
255,3602.28702261,685666.315741,255
256,4482.81912796,860438.053373,256
257,3180.27656399,455626.614457,257
258,3121.31358324,479666.979255,258
259,2654.69334751,407811.390177,259
260,2722.95855094,463645.904926,260
261,2892.5514973,403492.682919,261
262,2113.69184644,270364.37684,262
263,3365.11277976,671366.264164,263
264,2213.53075023,248829.10224,264
265,7179.77808014,1746199.36871,265
266,8823.41744454,1913757.41783,266
267,5081.57978154,1583995.67555,267
268,6504.33857056,1942308.88061,268
269,4787.23848113,1034171.7262,269
270,3956.51989431,953569.055118,270
271,4743.40321679,1204454.31375,271
272,5521.69915722,1391563.08285,272
273,5273.8165561,1322150.42094,273
274,7513.52878187,1853726.22996,274
275,6601.88920842,2172406.60116,275
276,4052.48073231,825163.522382,276
277,4477.56454517,918526.546498,277
278,3993.685527,911171.383142,278
279,3341.57779952,657773.933036,279
280,1970.93318201,176240.598789,280
281,2748.92212943,416668.449271,281
282,5951.72536551,1855089.17885,282
283,4474.98577811,1235874.94687,283
284,3393.79805988,715932.945563,284
285,4023.97771259,928981.124838,285
286,4003.84552481,948780.906528,286
287,2543.8817408,402029.225317,287
288,4675.65381737,1343611.63164,288
289,5644.81281604,911694.660734,289
290,3957.98682598,971571.429263,290
291,4118.17297658,1055914.98042,291
292,5179.8029119,1036398.21358,292
293,4594.13501348,1283238.723,293
294,4532.62043333,1086284.8406,294
295,2957.84583888,532499.862541,295
296,4859.34067537,827733.141275,296
297,4844.89472438,1226781.54522,297
298,7535.67702411,2268357.87508,298
299,6146.62359204,1971669.28179,299
300,5189.72093615,1332748.81529,300
301,5759.81031755,1522120.71647,301
302,7952.81880529,2750395.74949,302
303,8556.65071844,2667275.15568,303
304,11575.3644998,3414187.61344,304
305,8428.15177965,2728718.27366,305
306,7259.87984214,3203874.04326,306
307,7815.01855364,3090517.73991,307
308,4776.75374399,1412409.51346,308
309,4916.30943805,1454726.62027,309
310,5095.43668696,1414223.77307,310
311,2874.5097823,491094.478732,311
312,3703.77954818,736711.286124,312
313,4693.27758243,857128.21466,313
314,4818.96596191,1201066.54178,314
315,3564.5884207,665809.594853,315
316,5389.26364986,1810288.58152,316
317,2983.03331765,531369.670783,317
318,4284.59272533,1083878.80575,318
319,3922.09750891,915869.287337,319
320,3540.73444119,779850.493604,320
321,4747.99633536,1386881.99651,321
322,3818.37439449,903721.032146,322
323,5254.20238105,1031737.81081,323
324,7417.34699574,2310956.40528,324
325,6387.87683989,1850763.0096,325
326,4946.73162604,1044571.07176,326
327,6922.41095167,1856388.63089,327
328,6040.04894173,1190473.4469,328
329,6261.11301392,996417.964032,329
330,4086.71325535,902481.596573,330
331,5490.99833776,1694974.59282,331
332,3610.59034696,750545.144693,332
333,5869.10041768,1891843.09971,333
334,5929.94060986,1287036.84719,334
335,4626.79987552,1061661.87216,335
336,4710.71678594,1144448.4976,336
337,3460.91546292,677726.655427,337
338,4256.83640437,1034482.10558,338
339,3075.90386196,556904.418038,339
340,4663.7300334,1133924.05791,340
341,4480.28050336,1246205.33254,341
342,4422.84205867,1113960.82169,342
343,3439.18455248,677630.192705,343
344,9836.83306135,2445260.72922,344
345,8803.92240033,3051176.86292,345
346,6671.40474891,1984050.40319,346
347,8506.28221791,2478271.45121,347
348,7558.62871035,2278255.06159,348
349,6546.73278962,1905988.48805,349
350,4345.83703357,675849.187627,350
351,7797.29063298,2173566.54162,351
352,6289.11337239,2381110.11044,352
353,4717.85985122,1138273.97836,353
354,5704.80778896,1499845.36773,354
355,1663.03219423,172766.946889,355
356,2986.33704272,537819.68615,356
357,4501.24614666,843050.108568,357
358,4394.07708492,776730.440176,358
359,4835.95004604,744045.911117,359
360,10264.1595563,1179832.0086,360
361,5248.73184832,893597.017502,361
362,4514.78376755,1235334.05273,362
363,3686.04889982,708830.694923,363
364,4428.03788046,1131961.68979,364
365,2559.65186786,395478.442291,365
366,3692.00849279,810807.214882,366
367,3692.29452723,831753.832187,367
368,5347.99680683,859947.228445,368
369,3747.63753918,767628.383423,369
370,4123.84542683,1011030.50154,370
371,5834.00248737,1999083.35545,371
372,4726.52542004,1377427.37394,372
373,5395.98687264,1728207.47146,373
374,6314.19262005,2562312.76574,374
375,6961.62381002,2190465.01337,375
376,4318.80321648,1041702.41177,376
377,5050.05214052,1192277.90832,377
378,3636.02542991,819045.819875,378
379,3598.86137263,806343.595215,379
380,5924.0722794,1276514.12006,380
381,3241.35526711,649910.873433,381
382,4323.72014996,1098747.69663,382
383,5464.98234269,1761933.62693,383
384,6739.49617772,2669961.6287,384
385,3987.81666858,878784.211803,385
386,5456.81789947,1819058.02496,386
387,4117.05889822,924226.034159,387
388,3699.13181262,813337.841876,388
389,6038.83262248,2038088.49033,389
390,6797.54665661,2266747.66332,390
391,7424.1896097,2377089.84188,391
392,5712.13554255,1682683.39685,392
393,4917.30883614,882058.61684,393
394,6209.00835129,2307487.25091,394
395,5122.57005494,1268757.85839,395
396,8073.69782327,1840550.69787,396
397,6997.14479798,1853011.06487,397
398,6743.41501367,1656062.68235,398
399,5697.01682817,1263492.18057,399
400,5324.67695483,1501169.55931,400
401,5063.20857881,1094595.9506,401
402,7021.36894317,1642707.66363,402
403,4481.1298994,832803.369823,403
404,11956.6557613,2359305.49069,404
405,7128.08695369,1489253.37901,405
406,5765.01260403,1533938.01971,406
407,6464.87558119,1558901.02456,407
408,5633.27713067,1572405.83607,408
409,7060.44101835,2213412.72874,409
410,6645.36134195,2699553.13229,410
411,5089.06498211,1553885.25454,411
412,4673.66194452,1109074.3812,412
413,3820.73853329,857901.538806,413
414,6004.24859365,1497262.86857,414
415,4611.8424465,776607.919622,415
416,5481.93805378,1740489.71983,416
417,3765.50574806,876476.801543,417
418,5422.17363052,1568438.62321,418
419,6269.15622425,2254490.51551,419
420,4912.23566775,1280010.40788,420
421,4391.6196724,1077138.55983,421
422,4704.75360406,1103086.54216,422
423,4897.46013194,1332055.43953,423
424,5466.41476412,1579920.18228,424
425,3709.29906425,850987.440115,425
426,5382.28839426,1659690.78021,426
427,5597.19714488,1740950.61361,427
428,6106.69855161,1558593.95117,428
429,3653.47770982,824774.847621,429
430,4326.1446318,1076007.62494,430
431,6886.95539419,2875515.77655,431
432,8678.73401045,2382534.45009,432
433,5053.55504509,1615841.75814,433
434,3707.37749521,851714.072805,434
435,4679.35873215,1280243.25661,435
436,5912.70153836,2033160.20493,436
437,7171.18291772,3307488.88099,437
438,6314.35121695,1729716.05207,438
439,6115.05363972,2265544.39857,439
440,5119.26588975,1382529.70948,440
441,6888.41539117,2630503.474,441
442,6752.7861235,2433543.42649,442
443,8021.00451248,3457059.73878,443
444,10958.755368,6586822.94405,444
445,12332.8039433,8751135.38241,445
446,8193.22287933,2181588.58209,446
447,5166.83470532,1408698.44404,447
448,6306.77094092,2548440.87574,448
449,12550.0755955,4674820.69041,449
450,5834.45836757,1400297.58537,450
451,5445.54934015,1566369.13122,451
452,6366.57995142,2166352.86695,452
453,3460.91035563,743709.217351,453
454,7050.24901532,1765636.40515,454
455,7383.7651182,2736843.27198,455
456,5368.15893172,1148865.28055,456
457,8116.20514943,2213314.78202,457
458,7500.64774968,2834838.84842,458
459,10599.3594912,4609721.94832,459
460,7810.2223813,3255583.75029,460
461,6014.22930319,1888194.96535,461
462,9217.94421189,2948806.15364,462
463,8320.60278028,2453866.54117,463
464,4283.29406862,932622.685673,464
465,5287.84256602,1443657.62731,465
466,4755.47842348,1022683.67262,466
467,4450.38264024,1165419.48021,467
468,5396.14560947,1287127.73051,468
469,6379.45688063,2299497.27306,469
470,4572.96343751,1303969.9956,470
471,5289.92264131,1325688.37589,471
472,5734.78466025,1689842.31789,472
473,6933.58841693,2265874.30042,473
474,4276.18600167,1001901.94066,474
475,5386.50283444,1286857.27602,475
476,4654.58539264,1179177.73524,476
477,6188.63029043,1408988.47018,477
478,4706.04465529,720523.650536,478
479,3615.53327013,284286.258455,479
480,3058.25454539,569586.80241,480
481,5181.56771973,408882.872291,481
482,31775.1618551,57875734.0345,501
483,7544.65038061,2114855.57178,502
484,30728.1989695,54854383.194,503
485,5421.10915354,1232510.20758,504
486,5037.25630171,1291850.37635,505
487,7012.5669578,2623968.87262,506
488,4456.30298097,643847.9532,507
489,10286.732815,2492709.10027,508
490,4344.23371216,844645.620857,509
491,2656.40172926,271554.814697,510
492,17260.3628003,9089418.62524,511
493,12078.2774242,5704256.37568,512
494,6382.3002424,2458230.45704,513
495,4850.19080334,1337874.97462,514
496,10094.6954916,5520808.92004,515
497,8122.59746604,3844207.58281,516
498,9117.76176791,5131404.70154,517
499,12932.1614626,6837685.75084,518
500,7304.53143667,3327622.46377,519
501,6798.18814965,1979657.90932,520
502,12409.5785738,5131100.04238,521
503,7412.62094022,2493756.39751,522
504,5276.4794631,964816.496729,523
505,7063.7792806,2696765.85505,524
506,6317.41654095,2166197.92019,525
507,11366.8417755,5356720.63544,526
508,6538.28962684,2424792.77212,527
509,8529.42833485,2543092.89017,528
510,8560.5401752,2534247.21746,529
511,6255.70914027,1268985.83737,530
512,6882.00882,2808369.87176,531
513,8650.75677257,4011708.40463,532
514,7008.62426579,3083405.30241,533
515,7354.27111845,2301452.34769,534
516,7121.90391654,1806929.66154,535
517,3796.75635776,874451.583158,536
518,11104.1422017,3545863.34817,537
519,8074.05705038,2197372.8507,538
520,8786.56778058,3668727.23824,539
521,5769.84253021,1362311.66014,540
522,4325.58406048,774671.811852,541
523,7450.41887696,3448379.04936,542
524,5151.909027,1526245.361,543
525,8275.40269087,3277570.09628,544
526,8052.86171736,1787050.46306,545
527,8688.55062508,4239483.08975,546
528,7279.44099465,3232189.7785,547
529,9078.92505802,5122725.63305,548
530,4629.83145326,578526.472751,549
531,2079.90929491,208620.104991,550
532,9377.51950606,4475589.84448,551
533,6870.38163667,2518391.88797,552
534,3806.18292103,798617.709262,553
535,5686.18602361,1815693.53245,554
536,3806.83987743,872648.947036,555
537,5186.15219531,1567787.79781,556
538,3682.88362562,847564.810865,557
539,6621.30084533,2267321.12604,558
540,6919.38572345,3093132.05983,559
541,6994.60267686,2598422.95477,560
542,5393.95379617,1310216.66869,561
543,7467.34143498,2996901.15554,562
544,5705.93429591,1664647.99909,563
545,3648.59206664,807738.700959,564
546,3561.68522811,792837.555569,565
547,6836.37033763,2354035.10207,566
548,5245.40960782,1595488.28898,567
549,3579.50079447,795807.595592,568
550,8833.5284217,3505769.44764,569
551,5432.64771969,1764422.74628,570
552,3772.30954125,871942.419066,571
553,8661.91705421,3752480.59637,572
554,9015.44013344,5006248.47922,573
555,8372.91567189,4090333.02212,574
556,6516.5403358,1990847.86036,575
557,15667.2862885,15284264.5578,576
558,13530.1530605,10293571.0713,577
559,10144.0981407,4501469.35052,578
560,11496.8209657,7591481.82482,579
561,9045.95695551,5015269.67731,580
562,6554.11084983,2427989.72751,581
563,10343.3359394,4494645.80621,582
564,9484.12186556,5814096.74033,583
565,7119.23134554,2807530.3585,584
566,7622.45410266,2455325.29749,585
567,10994.305654,7515978.31601,586
568,8585.51664911,3882910.62736,587
569,5626.01878822,1898531.94445,588
570,5690.78812852,1615276.63898,589
571,9814.20372074,5574767.53663,590
572,3584.6433624,553368.667614,591
573,9141.49162071,5062165.95452,592
574,6486.77716162,2441396.7184,593
575,6056.89263571,1685211.45633,594
576,8082.095761,4151666.63296,595
577,5774.1027393,1694071.65608,596
578,5796.56445497,1713920.55977,597
579,7440.85724955,3406923.53113,598
580,6531.30682447,2507201.66137,599
581,6101.15044039,1771623.27624,600
582,8019.09630985,4149340.10728,601
583,5767.17124359,1695990.93713,602
584,5763.59592647,1692923.10353,603
585,7419.0342495,3399041.00961,604
586,6573.89030648,2518849.07118,605
587,3745.48217948,876771.359709,606
588,6207.32138767,1995332.57767,607
589,4537.61915993,1165447.46829,608
590,5227.42870351,1448229.02898,609
